"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label"
"(Intercept)",4.05355599141051,5.5314751601794,3.02767269575726,0.73281645022863,0.463670386664494,-6.78813532254111,14.8952473053621,"Intercept"
"iri_total_z",-0.872886774142237,0.952594536723531,0.446843607657793,-0.916325614405211,0.359496137242644,-2.73997206612036,0.994198517835883,"Empathy composite (z)"
"same_group_harm",-1.34118350739973,0.783236249086877,0.896630758005125,-1.71236138389066,0.0868300908662156,-2.87632655561001,0.193959540810544,"Negotiator and victim share faculty"
"perp_outgroup",-0.57818749059949,0.72086562016089,0.898749564097514,-0.802073887877251,0.422510218650429,-1.99108410611483,0.834709124915853,"Outgroup perpetrator (ref = ingroup)"
"victim_outgroup",-1.8467769874641,1.53428261969903,1.11706399689733,-1.20367457973705,0.228715381144177,-4.8539709220742,1.160416947146,"Victim outgroup (ref = ingroup)"
"role_observer",2.29390882985671,1.51962641846884,0.932517788194268,1.50952155212465,0.131165551867085,-0.684558950342217,5.27237661005563,"Observer role (ref = victim)"
"participant_engineering",-1.75458696572144,1.76371637855458,0.907847564185693,-0.994823763648086,0.319821986378563,-5.21147106768843,1.70229713624554,"Engineering participant (ref = humanities)"
"sex_man",-1.17486826445212,1.77415971031546,0.919261865925002,-0.662211106261242,0.507835937405237,-4.65222129667042,2.30248476776617,"Man (ref = woman)"
"age",-0.213071693087788,0.227389534313148,0.104212617617732,-0.937033860117582,0.348741140929413,-0.658755180341557,0.232611794165981,"Age"
"economic_status",-0.302694813004269,0.734766887418985,0.372500488619709,-0.411960334886,0.680368496432577,-1.74283791234548,1.13744828633694,"Socioeconomic status"
"factor(stage)2",-0.629976499295464,1.52726831189765,1.63884355601281,-0.412485805138397,0.679983382858416,-3.62342239061487,2.36346939202394,"Stage 2 (ref = stage 1)"
"factor(stage)3",-0.843069900065829,1.53649172595431,1.58810298501241,-0.548697975930981,0.583212735467398,-3.85459368293627,2.16845388280461,"Stage 3 (ref = stage 1)"
"factor(stage)4",-3.76123818379887,1.51084443220249,1.70243505614918,-2.48949402309792,0.0127925069463642,-6.72249327091576,-0.799983096681987,"Stage 4 (ref = stage 1)"
"factor(stage)5",-1.28258379725469,1.8217726959884,1.61236844976824,-0.70403064008972,0.481413692493263,-4.85325828139195,2.28809068688258,"Stage 5 (ref = stage 1)"
"factor(stage)6",-0.759711592971087,1.39288539476504,1.64258915387106,-0.545422901142014,0.585462693305981,-3.48976696671057,1.97034378076839,"Stage 6 (ref = stage 1)"
"factor(stage)7",-2.57812489529556,1.47788340355464,1.54245345070613,-1.74447110583595,0.0810769755025741,-5.47477636626264,0.318526575671527,"Stage 7 (ref = stage 1)"
"factor(stage)8",-2.12472857429965,1.46956108201765,1.63284417124854,-1.4458252877672,0.148226211464584,-5.00506829505424,0.755611146454945,"Stage 8 (ref = stage 1)"
"factor(stage)9",-1.47015631653986,1.36188335805329,1.67629018258577,-1.07950237283268,0.280363836586029,-4.13944769832431,1.19913506524459,"Stage 9 (ref = stage 1)"
"factor(stage)10",-1.4630698405019,1.61148283317758,1.66422576375099,-0.907902839782024,0.363929557133588,-4.62157619352995,1.69543651252615,"Stage 10 (ref = stage 1)"
"factor(negotiator_slot)2",-0.147163677413234,0.57629018833724,0.757218436105484,-0.255363843409937,0.798442093990851,-1.27669244655422,0.982365091727757,"Negotiator 2 (ref = negotiator 1)"
"Log(scale)",1.92572733368886,0.10251760490074,0.0490396677588179,18.7843574335685,1.01406305579764e-78,1.72479282808341,2.12666183929431,"Log(scale)"
